,Entries,ticker,signal
0,"AIAENG.NS2020-08-06 00:00:00 1711.5999755859375  Yes, buy it",AIAENG.NS,Buy
1,BIOCON.NS 2020-08-06 00:00:00 407.45001220703125  Sell it,BIOCON.NS,Sell
2,"CREDITACC.NS2020-08-06 00:00:00 585.6500244140625  Yes, buy it",CREDITACC.NS,Buy
3,"EIHOTEL.NS2020-08-06 00:00:00 67.5  Yes, buy it",EIHOTEL.NS,Buy
4,"EXIDEIND.NS2020-08-06 00:00:00 157.35000610351562  Yes, buy it",EXIDEIND.NS,Buy
5,FEDERALBNK.NS 2020-08-06 00:00:00 52.45000076293945  Sell it,FEDERALBNK.NS,Sell
6,"IEX.NS2020-08-06 00:00:00 187.0500030517578  Yes, buy it",IEX.NS,Buy
7,INOXLEISUR.NS 2020-08-06 00:00:00 234.6999969482422  Sell it,INOXLEISUR.NS,Sell
8,"JAMNAAUTO.NS2020-08-06 00:00:00 35.04999923706055  Yes, buy it",JAMNAAUTO.NS,Buy
9,"JUSTDIAL.NS2020-08-06 00:00:00 385.3500061035156  Yes, buy it",JUSTDIAL.NS,Buy
10,"LT.NS2020-08-06 00:00:00 922.1500244140625  Yes, buy it",LT.NS,Buy
11,MANAPPURAM.NS 2020-08-06 00:00:00 154.8000030517578  Sell it,MANAPPURAM.NS,Sell
12,MRPL.NS 2020-08-06 00:00:00 34.849998474121094  Sell it,MRPL.NS,Sell
13,PAGEIND.NS 2020-08-06 00:00:00 19358.150390625  Sell it,PAGEIND.NS,Sell
14,"PHILIPCARB.NS2020-08-06 00:00:00 107.94999694824219  Yes, buy it",PHILIPCARB.NS,Buy
15,"RCF.NS2020-08-06 00:00:00 48.45000076293945  Yes, buy it",RCF.NS,Buy
16,SCHAEFFLER.NS 2020-08-06 00:00:00 3573.10009765625  Sell it,SCHAEFFLER.NS,Sell
17,"SWANENERGY.NS2020-08-06 00:00:00 148.6999969482422  Yes, buy it",SWANENERGY.NS,Buy
