,Training,testing
0,15723.39997092692,10109.679217928327
1,15767.627957912715,7168.369921179176
2,19395.49945311651,10138.326463562811
3,18255.642312299566,10277.00345607561
4,18066.872379267792,10821.142433465271
5,17973.205183491653,9181.21098034628
6,18480.682295063358,9746.368501377516
7,17191.2660256659,10051.180362373683
8,15862.497318698715,10606.450284412284
9,20568.114811555955,7443.311235658333
10,16443.02286947722,10687.26570328316
11,17695.80160071948,10998.372346135382
12,19575.21586405394,9913.375661450842
13,19831.41102518842,9861.800520200002
14,16230.752818425073,9410.783836275927
15,12698.101589999973,10422.52259803893
16,12590.134596941749,10303.479369858385
17,20482.068891474497,9391.271121943799
18,19781.076756466973,7762.816777957252
19,14811.692837860392,9578.605856536931
20,24461.195315993828,8578.088848578467
21,19213.697617601454,8720.186861560369
22,19523.537785170884,8505.627156305249
23,18302.223683750894,9047.817961812725
24,18643.922279465965,11605.38635709979
25,13779.994638700513,10901.158275416303
26,14735.125280904747,9467.981012700846
27,14643.478967842162,10380.225435390505
28,17991.35222136917,9670.055177902195
29,14868.122654023187,10990.850478132219
30,14451.50949756349,9515.348003038202
31,18650.284187357043,8225.182042519751
32,21191.205022406506,11267.948012627881
33,14616.33467120654,10000.0
34,14803.352882288164,10151.643525283871
35,16796.4290764408,10509.079204691005
36,13700.291237604877,9642.870788838522
37,18301.458511478068,10000.0
38,14943.616172387232,10214.399471089944
39,14245.180405813844,10583.796261798787
40,19470.37273436887,11775.493623276743
41,20126.045755473213,8684.95327631927
42,18970.425894290474,10522.099333661663
43,16664.300692545097,8734.871239683845
44,14458.258490372496,10283.292333182366
